title,provider,award,ects_credits,mode,deadline,start_date,end_date,nfq,ote_flag,skill_area,link
Certificate in Digital Marketing and Digital Media Management (JANUARY 2019 INTAKE),Dundalk Institute of Technology,Special Purpose Award,30,Part Time,1/1/2019,29/1/2019,31/1/2020,7,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6487
Diploma in Restaurant Management,Waterford Institute of Technology,Diploma in Restaurant Management,70,Part Time,15/9/2018,17/9/2018,30/8/2019,7,No,['services'],https://springboardcourses.ie/details/6482
Master of Science in Supply Chain Management - WICKLOW CAMPUS,"Institute of Technology, Carlow",NFQ Level 9,90,Part Time,10/9/2018,11/9/2018,21/9/2019,9,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6481
Marketing Management (Specialist Diploma) (Blended Learning) [January 2019],University of Limerick,Minor,42,Part Time,21/12/2018,26/1/2019,21/12/2019,9,Yes,"['business', 'administration', 'law']",https://springboardcourses.ie/details/6470
Regulatory Affairs in (Bio)Pharmaceuticals (Specialist Diploma) [March 2019],University of Limerick,Minor,42,Part Time,16/11/2018,9/3/2019,21/12/2019,9,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6469
Embedded Systems Engineering (Specialist Diploma) (Blended Learning) [January 2019],University of Limerick,Minor,36,Part Time,7/1/2019,23/1/2019,21/12/2019,9,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6467
Certificate in Data Analytics for Business JANUARY 2019 INTAKE,Dundalk Institute of Technology,Certificate in Data Analytics for Business,10,Part Time,1/1/2019,30/1/2019,31/5/2019,7,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6393
Certificate in Sound Design and Implementation for Interactive Media JANUARY 2019 INTAKE,Dundalk Institute of Technology,Certificate in Sound Design and Implementation for Interactive Media,40,Part Time,8/3/2019,8/3/2019,31/1/2020,7,Yes,"['arts', 'humanities']",https://springboardcourses.ie/details/6392
Certificate in Applied Electrical Engineering JANUARY 2019 INTAKE,Dundalk Institute of Technology,Certificate in Applied Electrical Engineering,30,Part Time,13/1/2019,22/1/2019,31/1/2020,6,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6391
Higher Diploma in 3D Computer Animation [2 Years Part-time] JANUARY 2019 INTAKE,Dundalk Institute of Technology,Higher Diploma in Science in 3D Computer Animation,75,Part Time,30/1/2019,31/1/2019,29/1/2021,8,Yes,"['information', 'communication', 'technologies']",https://springboardcourses.ie/details/6390
Higher Diploma in Supply Chain Management - WICKLOW CAMPUS,"Institute of Technology, Carlow",NFQ Level 8,60,Part Time,10/9/2018,10/9/2018,30/6/2019,8,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6376
Higher Diploma in Business in Tourism Marketing - WEXFORD CAMPUS,"Institute of Technology, Carlow",NFQ Level 8,60,Part Time,10/9/2018,10/9/2018,30/6/2019,8,Yes,['services'],https://springboardcourses.ie/details/6375
Higher Diploma in Business in Tourism Marketing - WICKLOW CAMPUS,"Institute of Technology, Carlow",NFQ Level 8,60,Part Time,10/9/2018,10/9/2018,30/6/2019,8,Yes,['services'],https://springboardcourses.ie/details/6370
Higher Diploma in Arts in Digital Media Design - WEXFORD CAMPUS,"Institute of Technology, Carlow",NFQ Level 8,60,Part Time,14/9/2018,17/9/2018,30/6/2019,8,Yes,"['arts', 'humanities']",https://springboardcourses.ie/details/6367
Higher Diploma in Arts in Digital Media Design - WICKLOW CAMPUS,"Institute of Technology, Carlow",NFQ Level 8,60,Part Time,10/9/2018,10/9/2018,30/6/2019,8,Yes,"['arts', 'humanities']",https://springboardcourses.ie/details/6366
Certificate in Data Protection WEXFORD CAMPUS,"Institute of Technology, Carlow",NFQ Level 8 (10 credit module),10,Part Time,5/10/2018,10/10/2018,30/6/2019,8,Yes,['services'],https://springboardcourses.ie/details/6363
Certificate in Data Protection - WICKLOW CAMPUS,"Institute of Technology, Carlow",NFQ Level 8 (10 credit module),10,Part Time,8/9/2018,10/9/2018,30/6/2019,8,Yes,['services'],https://springboardcourses.ie/details/6362
Certificate in Introduction to CAD & 3D Modelling - WEXFORD CAMPUS,"Institute of Technology, Carlow",NFQ Level 6 (10 credit module),10,Part Time,10/9/2018,10/9/2018,30/6/2019,6,Yes,"['engineering', 'manufacturing', 'construction']",https://springboardcourses.ie/details/6361
